,ATL,AUS,BNA,BOS,BWI,CLT,DAL,DCA,DEN,DFW,DTW,EWR,FLL,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
MIA,0.021653621801116383,0.08070397818739836,0.0,0.04723489745839606,0.10097687953053422,0.08445524432171968,0.09011645434223246,0.028901656970792833,0.0,0.0,0.0,0.10164754292912061,0.0,0.0,0.03832306473767932,0.0,0.003402314191046541,0.0,0.14887961312282808,0.0,0.3106829419077369,0.0,0.018237769036639852,0.0,0.0,0.05060281273399567,0.00843804755881193,0.047856303850481556,0.0,0.09528763038225165
MSP,0.0,0.040757459659632816,0.018014177274239845,0.06551675389250045,0.006163775336581352,0.02931687124444098,0.09704806526775209,0.0,0.006198871886057194,0.0,0.043606084086618535,0.0,0.006097107483361128,0.0,0.05965166178742303,0.0,0.001963771847901909,0.0,0.0,0.0,0.013737650578868513,0.053509876384664465,0.15914079939826462,0.029940547933264988,0.009907601129577467,0.05514300120493981,0.009122016008546544,0.027940026335326773,0.0020737113124488895,0.024985795075280547
ORD,0.02386978878484249,0.030806543665732242,0.039642627906310415,0.0,0.047175295281596495,0.05785965760334497,0.0,0.05402739370310944,0.0,0.031700301584016564,0.04326991914495101,0.034870599016943296,0.07930239000507834,0.009916622598250881,0.0,0.0,0.0028357576154304305,0.0,0.0,0.0,0.021598956027171295,0.04305604377842665,0.4350333511499169,0.009710890039802012,0.0,0.0,0.03290412561479018,0.0,0.016106081884825717,0.0
PHL,0.0297946702822555,0.10780386081331857,0.04460212371362912,0.16676652899768168,0.0,0.0,0.003482093667592844,0.22955852836909416,0.012115754274212827,0.0,0.019836692839123024,0.18682382546828083,0.059638976064681874,0.004911649863045236,0.0,0.0,0.002158869365312559,0.038875163528693454,0.07390255874103449,0.0,0.0,0.016030421408916088,0.0611951750551156,0.13982027695362853,0.0,0.14818533731058178,0.0,0.0003770291336169031,0.0,0.0
PHX,0.017081264600390687,0.023927846282008263,0.0,0.05075045945008568,0.0009143823713654828,0.04923562056942089,0.04097771444782643,0.03159004819499179,0.024737768842961035,0.05831017064429451,0.019684964449434936,0.0,0.0005433741715888487,0.0,0.020689792663277695,0.08738285218407078,0.004341172246866107,0.0,0.0,0.0030466609286261092,0.0,0.02899307008965843,0.0,0.0027999329695788076,0.01747972465807258,0.055615661221160635,0.020320210017706328,0.03938724923300893,0.01671078740286831,0.015292526832610233
SAN,0.0,0.014199595264802281,0.00868670239063432,0.010028282100759903,0.0,0.06804828416753496,0.03928725583095479,0.0,0.0012509012602289421,0.016028140191919157,0.0,0.08288244717475046,0.0,0.0044361187751350934,0.0,0.09879902433722994,0.01454670400460102,0.0,0.04394895816167724,0.007083054074760621,0.04038707909823875,0.004572672773385026,0.011150363687758975,0.01640826949682295,0.00945887980594858,0.09219049123991255,0.04526914013855175,0.04917341880093753,0.01908857295360117,0.0
SEA,0.024523998790855022,0.04449825004216118,0.006128687138669996,0.022904560474108347,0.006061494028826315,0.00872710131681392,0.0,0.01099622264299021,0.017299705729620203,0.0,0.0276699420202788,0.01620159622315966,0.0,0.035850546958870154,0.0067113477384222785,0.044307555808951814,0.004237298513693474,0.0,0.0,0.00447339175063352,0.021843861098910938,0.00357338892079331,0.029018832316870597,0.0,0.041240158735911935,0.038025318983549834,0.05494735764443772,0.04939074959481837,0.01299202560385953,0.0
SFO,0.007098636079970164,0.00886961779338671,0.0,0.0,0.021931023006443787,0.004425078402967681,0.1148427666265244,0.0,0.015191726160843327,0.0,0.0,0.024351541155495645,0.0,0.0,0.015007802309425175,0.1187974636989211,0.02323712727860477,0.0,0.0,0.0,0.041739335357171004,0.0,0.0015526386230527635,0.027623684670944934,0.03498960689653658,0.07176753747413687,0.04167135582151462,0.3925651013847629,0.004902986286933809,0.04274558525034307
SLC,0.012391023400212534,0.037970565916779594,0.014333849671283516,0.010415638696696827,0.0,0.0726413216610807,0.0,0.0,0.03732496028733871,0.0,0.0,0.035503161538008206,0.0,0.010899534993941997,0.020277174343606943,0.14621370499259118,0.0,0.0,0.046596861578343314,0.01171382952105366,0.0,0.015409528724094127,0.029332601918751294,0.0022004930865084475,0.0579737388786284,0.01957512440562551,0.02676030840237573,0.007020070065517812,0.1339389550980168,0.016428680203217156
TPA,0.04203909871395685,0.0449722592990742,0.0,0.04588490885423484,0.06699873399603684,0.10361157748427006,0.0,0.028279890951714876,0.015404465505768952,0.007396128594377685,0.0,0.027862415124765116,0.132794359577241,0.02390158396673896,0.01277186239529516,0.01102526014764867,0.0,0.0,0.0,0.009240762284501406,0.07355941888561617,0.0,0.0169146240407028,0.0,0.00038688593103929883,0.0,0.023614326743034052,0.0010741965220980787,0.04066314893471548,0.3205770071616317
