Origin,Dest,flights,delay_rate,avg_arr_delay,avg_risk,distance,route_share_to_dest,route_share_from_origin
CLT,PHL,953,0.28751311647429173,20.88352570828961,0.2848049325309196,449.0,0.06475944550149497,0.044495284340274534
CLT,PHX,722,0.19806094182825484,12.306094182825484,0.26417246750265216,1773.0,0.028832714348468513,0.033709963582033806
CLT,SAN,352,0.25,14.278409090909092,0.2817741719888049,2077.0,0.024932710015582945,0.01643477448874778
CLT,SEA,258,0.19767441860465115,19.003875968992247,0.21063968641021383,2279.0,0.01499912795767688,0.01204594266504809
CLT,SFO,354,0.3813559322033898,29.3135593220339,0.3547048728325019,2296.0,0.018329622534044427,0.01652815388925203
CLT,SLC,231,0.19047619047619047,16.134199134199132,0.20752564789774763,1727.0,0.014481850667669738,0.010785320758240732
CLT,TPA,989,0.2770475227502528,15.616784630940344,0.26058304333894344,507.0,0.06409591704471808,0.046176113549351014
DAL,ATL,716,0.19972067039106145,12.46368715083799,0.20787097182292197,721.0,0.020707406657604767,0.08030506953790938
DAL,AUS,639,0.18309859154929578,9.629107981220658,0.18252979714302534,189.0,0.04290894439967768,0.07166890982503364
DAL,BNA,522,0.16666666666666666,8.668582375478927,0.19778716824355738,623.0,0.031786627694556084,0.058546433378196504
DAL,BWI,388,0.1958762886597938,10.311855670103093,0.21147010151368717,1209.0,0.03107480378023386,0.04351727231942575
DAL,CLT,91,0.25274725274725274,16.747252747252748,0.3575026294774494,926.0,0.004245591116917048,0.010206370569762225
DAL,DCA,416,0.23557692307692307,13.841346153846153,0.2347942254449258,1184.0,0.02335766423357664,0.04665769403319874
DAL,DEN,799,0.23028785982478098,11.750938673341677,0.2389147019505728,651.0,0.025580278533696175,0.08961417676087932
DAL,FLL,223,0.2825112107623318,14.076233183856502,0.21828120463993206,1108.0,0.012305485045800684,0.025011215791834903
DAL,IAH,265,0.2037735849056604,13.909433962264151,0.17755065246316198,216.0,0.014545254953619847,0.02972184836249439
DAL,LAS,701,0.24964336661911554,15.11126961483595,0.29245472923443927,1067.0,0.028498251890397595,0.07862270076267384
DAL,LAX,531,0.224105461393597,11.024482109227872,0.23124208882982886,1246.0,0.018237395246599807,0.05955585464333782
DAL,LGA,332,0.1897590361445783,11.909638554216867,0.20095457103888398,1381.0,0.016292879226578984,0.037236428891879766
DAL,MCO,693,0.25396825396825395,15.437229437229437,0.24605801989889756,973.0,0.025269836639439908,0.07772543741588156
DAL,MDW,452,0.17920353982300885,10.053097345132743,0.2076103776808789,793.0,0.04408035888433782,0.05069537909376402
DAL,MIA,120,0.23333333333333334,13.008333333333333,0.23463744733288072,1109.0,0.005667060212514758,0.013458950201884253
DAL,MSP,9,0.1111111111111111,1.6666666666666667,0.2058217211811584,853.0,0.0005941770647653001,0.001009421265141319
DAL,ORD,338,0.14201183431952663,7.775147928994083,0.15708712590330573,798.0,0.011020541245516791,0.037909376401973977
DAL,PHL,1,0.0,0.0,0.18983500853404134,1295.0,6.79532481652623e-05,0.00011215791834903544
DAL,PHX,735,0.20952380952380953,10.561904761904762,0.215133189629055,879.0,0.029351862944770577,0.08243606998654104
DAL,SAN,332,0.21686746987951808,10.789156626506024,0.20631343379722503,1182.0,0.023516078764697548,0.037236428891879766
DAL,SEA,73,0.136986301369863,8.534246575342467,0.20897795248486156,1670.0,0.004243939305854311,0.008187528039479587
DAL,SFO,6,0.16666666666666666,4.833333333333333,0.2685615587651629,1476.0,0.00031067156837363434,0.0006729475100942127
DAL,SLC,184,0.2608695652173913,13.929347826086957,0.236295894917561,999.0,0.011535326938749922,0.02063705697622252
DAL,TPA,350,0.26,18.26,0.2473215422896329,917.0,0.02268308489954634,0.039255271422162404
DCA,ATL,1682,0.14744351961950058,12.203923900118905,0.1527485363325763,547.0,0.0486450530699598,0.0943248093315388
DCA,AUS,90,0.2222222222222222,15.177777777777777,0.3110856007219067,1315.0,0.0060435132957292505,0.0050471063257065945
DCA,BNA,976,0.11270491803278689,8.808401639344263,0.117354062727739,562.0,0.05943246863962977,0.0547330641543293
DCA,BOS,2272,0.16461267605633803,12.67605633802817,0.1527733837194774,399.0,0.09676732399165211,0.12741139524450426
DCA,CLT,798,0.20300751879699247,20.860902255639097,0.1913718727980295,331.0,0.037230568256041804,0.04475100942126514
DCA,DAL,410,0.15609756097560976,9.826829268292682,0.1877863494732357,1184.0,0.04600538599640933,0.022992373261552266
DCA,DEN,361,0.14958448753462603,15.299168975069252,0.1804206567270032,1476.0,0.011557547622858972,0.020244504262000897
DCA,DFW,797,0.22082810539523212,24.075282308657467,0.21729043135198808,1192.0,0.02894287685659295,0.044694930462090623
DCA,DTW,658,0.1474164133738602,13.367781155015198,0.1379731209945682,405.0,0.03803688074455171,0.03689995513683266
DCA,EWR,42,0.11904761904761904,11.714285714285714,0.11579002838881815,199.0,0.002274450341167551,0.0023553162853297443
DCA,FLL,740,0.24594594594594596,21.38108108108108,0.19173817631609022,899.0,0.04083434499503366,0.041498429789143115
DCA,IAH,563,0.11367673179396093,14.117229129662523,0.12575272318839728,1208.0,0.03090180580712443,0.03157245401525348
